nome,cpf,uf,idade,renda_estimada,ticket_credito,situacao,score_faixa,dias_para_vencimento,produtos_ativos,ultimo_produto_adquirido,status_atividade,canal_preferido
Andre Dias,***.288.808-34,MA,35,9820,381.18,adimplente,Alto,126,1,Investimento,ativo,WhatsApp
Felipe Rocha,***.648.762-24,RJ,19,3960,590.08,adimplente,Alto,125,4,Cartao de debito,ativo,WhatsApp
Sergio Nascimento,***.825.718-40,CE,30,3230,2113.59,restrito,Baixo,0,1,Investimento,ativo,Telefone
Eduardo Correia,***.990.819-79,RN,31,2590,468.35,adimplente,Baixo,178,1,Seguro,ativo,WhatsApp
Vinicius Nascimento,***.717.712-16,MG,31,7910,784.11,restrito,Baixo,0,1,Financiamento,ativo,Telefone
Fernanda Souza,***.392.702-16,BA,28,3930,827.16,restrito,Alto,0,1,Cartao de credito,ativo,WhatsApp
Gabriel Nascimento,***.380.695-27,RS,73,2290,848.06,adimplente,Medio,277,3,Investimento,ativo,Telefone
Renata Barros,***.847.848-83,SP,51,5950,2712.64,adimplente,Medio,157,2,Seguro,ativo,WhatsApp
Ana Oliveira,***.870.347-86,AP,36,4770,955.81,adimplente,Medio,318,4,Cartao de credito,inativo,App
Marcos Castro,***.587.349-37,CE,32,1200,504.73,adimplente,Medio,46,3,Cartao de credito,ativo,WhatsApp
Thiago Martins,***.751.580-90,GO,19,3110,607.94,adimplente,Medio,5,4,Cartao de debito,ativo,App
Bruno Monteiro,***.617.610-70,PE,72,6180,504.01,restrito,Baixo,0,1,Cartao de credito,ativo,WhatsApp
Wesley Carvalho,***.953.214-74,RN,56,2350,952.12,restrito,Baixo,0,1,Cartao de credito,ativo,WhatsApp
Sergio Santos,***.212.302-30,SP,32,10400,1624.40,adimplente,Alto,97,1,Emprestimo pessoal,ativo,App
Gabriel Dias,***.290.933-71,RS,25,7020,418.83,adimplente,Alto,93,2,Conta digital,ativo,App
Joao Silva,***.722.251-96,RJ,34,3880,389.37,adimplente,Alto,284,1,Seguro,ativo,WhatsApp
Joao Rodrigues,***.640.575-22,MG,41,2380,543.97,adimplente,Medio,355,1,Seguro,inativo,App
Rodrigo Souza,***.842.558-82,RJ,52,3840,242.50,adimplente,Alto,109,1,Financiamento,inativo,Agencia
Gabriel Monteiro,***.862.979-92,RJ,48,1830,1155.99,restrito,Baixo,0,1,Financiamento,ativo,WhatsApp
Amanda Rocha,***.224.349-93,SP,33,3350,1502.87,adimplente,Medio,274,2,Conta digital,inativo,Telefone
Bruno Lima,***.406.748-18,RO,30,2830,296.76,restrito,Baixo,0,4,Conta digital,inativo,WhatsApp
Amanda Almeida,***.386.527-80,SP,44,1710,524.88,restrito,Medio,0,3,Seguro,ativo,Telefone
Bruna Ferreira,***.929.221-14,MG,33,5010,386.21,adimplente,Alto,132,4,Investimento,inativo,WhatsApp
Aline Cavalcanti,***.757.175-81,SP,34,2910,514.36,adimplente,Medio,223,2,Cartao de debito,ativo,WhatsApp
Gustavo Correia,***.746.509-90,PA,31,1870,483.35,adimplente,Alto,18,1,Investimento,ativo,App
Eduardo Silva,***.911.753-71,SP,30,2170,473.35,adimplente,Alto,328,3,Cartao de debito,ativo,Agencia
Igor Pinto,***.231.666-15,MG,65,2730,384.57,adimplente,Alto,353,1,Seguro,ativo,WhatsApp
Adriana Freitas,***.298.130-15,BA,39,1200,625.75,restrito,Baixo,0,2,Conta digital,inativo,WhatsApp
Felipe Monteiro,***.519.286-25,PR,65,8410,348.82,adimplente,Medio,244,2,Financiamento,ativo,Telefone
Bruno Mendes,***.194.597-19,GO,28,1200,422.21,restrito,Baixo,0,1,Investimento,ativo,Agencia
Paulo Moreira,***.102.844-97,MG,30,5390,237.09,restrito,Baixo,0,4,Cartao de debito,ativo,WhatsApp
Ana Araujo,***.416.986-45,SP,29,1860,1119.54,adimplente,Alto,131,2,Cartao de debito,ativo,WhatsApp
Marcio Silva,***.126.360-38,MG,33,7600,644.01,adimplente,Medio,304,1,Cartao de debito,inativo,WhatsApp
Maria Mendes,***.618.279-71,SP,48,2400,640.01,adimplente,Medio,92,1,Cartao de credito,ativo,WhatsApp
Igor Monteiro,***.453.499-88,PB,44,5350,341.85,adimplente,Baixo,201,2,Emprestimo pessoal,ativo,WhatsApp
Diego Pereira,***.383.874-31,PB,22,2110,528.19,restrito,Medio,0,2,Conta digital,ativo,WhatsApp
Fabio Rodrigues,***.343.176-55,BA,21,3780,371.60,adimplente,Alto,91,4,Investimento,ativo,Telefone
Andre Araujo,***.813.324-27,RS,20,3030,722.42,restrito,Baixo,0,2,Emprestimo pessoal,ativo,WhatsApp
Paulo Barbosa,***.301.791-34,PR,29,5760,1007.45,adimplente,Baixo,262,2,Investimento,ativo,Agencia
Joao Ferreira,***.821.141-67,SP,48,8460,870.26,restrito,Baixo,0,1,Emprestimo pessoal,inativo,WhatsApp
Tatiane Araujo,***.125.755-67,MT,28,4670,965.89,adimplente,Alto,64,3,Cartao de credito,ativo,WhatsApp
Francisco Ferreira,***.806.739-28,PI,25,2280,902.53,adimplente,Alto,349,3,Seguro,ativo,App
Paulo Cavalcanti,***.788.753-11,MG,62,2410,1238.88,restrito,Baixo,0,1,Seguro,ativo,WhatsApp
Paulo Souza,***.438.132-11,MG,30,2980,1324.57,adimplente,Alto,337,1,Cartao de credito,inativo,WhatsApp
Lucas Correia,***.438.385-78,RJ,41,2360,477.02,adimplente,Alto,116,4,Seguro,inativo,WhatsApp
Sergio Castro,***.574.442-61,SC,37,16370,361.71,adimplente,Alto,144,4,Cartao de credito,ativo,Telefone
Bruna Ribeiro,***.690.847-93,SP,71,9200,1428.96,restrito,Baixo,0,2,Seguro,ativo,Agencia
Rodrigo Nascimento,***.907.283-58,PA,60,1950,480.37,adimplente,Alto,357,1,Seguro,ativo,WhatsApp
Aline Martins,***.832.389-32,SP,20,1200,302.65,adimplente,Medio,225,1,Seguro,ativo,WhatsApp
Fernanda Gomes,***.909.404-31,SP,22,2020,355.37,adimplente,Medio,209,4,Emprestimo pessoal,ativo,WhatsApp
Fernanda Rodrigues,***.813.101-73,SP,42,3090,382.03,restrito,Baixo,0,2,Cartao de credito,inativo,Telefone
Sergio Martins,***.815.481-16,SP,33,2240,1260.72,adimplente,Alto,103,2,Financiamento,ativo,Agencia
Ana Souza,***.988.486-31,SP,36,1950,703.89,adimplente,Medio,346,4,Conta digital,ativo,Telefone
Igor Carvalho,***.724.496-43,SP,27,3000,1151.49,adimplente,Medio,305,3,Seguro,ativo,Agencia
Juliana Oliveira,***.592.429-75,MG,35,2850,509.04,adimplente,Baixo,354,2,Seguro,ativo,WhatsApp
Gustavo Gomes,***.296.310-75,SE,19,2200,957.71,restrito,Medio,0,4,Emprestimo pessoal,ativo,App
Amanda Carvalho,***.537.827-91,AM,35,4600,336.85,adimplente,Medio,94,1,Conta digital,ativo,WhatsApp
Leandro Teixeira,***.789.830-60,SP,51,13690,584.57,restrito,Baixo,0,1,Investimento,ativo,App
Pedro Pinto,***.836.509-81,PB,74,2770,403.33,adimplente,Alto,263,3,Conta digital,ativo,WhatsApp
Thiago Teixeira,***.692.978-64,SP,32,2660,2025.88,adimplente,Alto,330,3,Investimento,ativo,Agencia
Juliana Cavalcanti,***.116.677-53,RJ,53,1200,574.81,adimplente,Alto,155,3,Emprestimo pessoal,ativo,Agencia
Carlos Gomes,***.804.693-33,SP,42,1750,261.45,restrito,Baixo,0,2,Cartao de debito,inativo,App
Beatriz Araujo,***.174.887-31,BA,53,3460,491.56,restrito,Baixo,0,1,Cartao de debito,ativo,App
Vinicius Cardoso,***.920.246-19,ES,60,3130,700.67,restrito,Baixo,0,1,Emprestimo pessoal,ativo,WhatsApp
Beatriz Lima,***.544.413-89,BA,21,4490,398.79,adimplente,Medio,62,1,Emprestimo pessoal,ativo,WhatsApp
Claudia Carvalho,***.526.559-95,SP,31,2780,688.59,adimplente,Alto,204,2,Cartao de debito,ativo,Agencia
Sabrina Castro,***.436.372-46,AP,25,6830,850.53,restrito,Baixo,0,1,Cartao de credito,ativo,WhatsApp
Thiago Correia,***.230.189-41,RJ,56,3160,364.24,adimplente,Medio,8,4,Conta digital,ativo,WhatsApp
Antonio Dias,***.119.470-47,CE,63,2050,280.53,adimplente,Baixo,26,3,Seguro,ativo,WhatsApp
Mariana Moreira,***.521.765-93,SP,73,3890,528.10,adimplente,Alto,251,3,Emprestimo pessoal,ativo,App
Igor Pinto,***.702.517-26,GO,37,15120,474.34,restrito,Baixo,0,1,Seguro,ativo,WhatsApp
Patricia Araujo,***.977.724-29,SE,67,1200,253.90,restrito,Baixo,0,1,Investimento,ativo,WhatsApp
Daniel Lima,***.329.293-40,MA,25,2900,509.30,adimplente,Medio,151,2,Conta digital,ativo,WhatsApp
Caio Martins,***.572.361-35,SP,56,1380,974.64,restrito,Medio,0,4,Investimento,inativo,WhatsApp
Luiz Monteiro,***.602.503-51,MG,35,2730,769.57,restrito,Medio,0,2,Conta digital,ativo,App
Caio Mendes,***.316.196-32,SP,36,4340,452.57,adimplente,Alto,230,1,Financiamento,ativo,Telefone
Carlos Correia,***.223.499-16,MT,41,2210,1305.04,adimplente,Baixo,330,1,Investimento,ativo,WhatsApp
Jose Teixeira,***.352.346-83,PE,51,2960,1334.12,adimplente,Alto,253,1,Emprestimo pessoal,inativo,WhatsApp
Adriana Cardoso,***.681.136-92,PR,29,2260,445.05,restrito,Baixo,0,2,Emprestimo pessoal,ativo,WhatsApp
Carlos Moreira,***.388.604-99,RJ,44,3250,291.04,adimplente,Medio,321,1,Cartao de credito,ativo,WhatsApp
Bruno Ribeiro,***.574.229-30,CE,29,3180,691.26,adimplente,Medio,98,3,Financiamento,inativo,Agencia
Diego Gomes,***.754.862-39,SP,39,5040,1275.43,adimplente,Medio,133,1,Investimento,ativo,Telefone
Renata Ribeiro,***.710.721-71,PI,31,2140,452.47,adimplente,Alto,101,3,Seguro,ativo,WhatsApp
Igor Ribeiro,***.305.195-17,SP,34,7040,356.37,adimplente,Alto,27,2,Cartao de credito,inativo,WhatsApp
Juliana Pinto,***.799.625-15,SP,74,7820,1050.75,adimplente,Medio,346,2,Cartao de credito,ativo,Telefone
Gustavo Dias,***.597.172-95,MG,35,5110,451.85,adimplente,Alto,79,4,Cartao de credito,ativo,WhatsApp
Caio Freitas,***.748.360-18,SP,31,1780,283.30,adimplente,Medio,197,1,Conta digital,ativo,Telefone
Joao Castro,***.854.921-11,SP,49,1200,606.98,adimplente,Alto,207,1,Cartao de credito,ativo,WhatsApp
Fernanda Costa,***.905.287-50,SP,39,1200,1047.76,restrito,Medio,0,3,Seguro,inativo,WhatsApp
Beatriz Castro,***.533.662-40,MG,19,2760,1121.88,restrito,Baixo,0,3,Emprestimo pessoal,ativo,App
Fabio Castro,***.241.156-62,MG,24,11660,694.69,adimplente,Medio,74,2,Financiamento,inativo,WhatsApp
Eduardo Gomes,***.332.408-71,GO,22,4260,459.88,adimplente,Medio,249,4,Financiamento,ativo,Agencia
Tatiane Gomes,***.750.714-92,PE,55,1900,442.69,restrito,Baixo,0,4,Cartao de credito,ativo,WhatsApp
Wesley Cavalcanti,***.558.432-90,SC,49,4060,3000.00,restrito,Medio,0,4,Cartao de debito,ativo,App
Andre Martins,***.249.362-28,AM,75,2910,598.53,adimplente,Medio,113,3,Cartao de credito,inativo,WhatsApp
Aline Almeida,***.693.199-58,RS,49,4100,440.54,restrito,Baixo,0,3,Investimento,inativo,App
Fernanda Araujo,***.694.250-66,SP,48,6860,840.64,adimplente,Medio,12,3,Seguro,ativo,Agencia
Fabio Martins,***.168.419-78,RS,50,2510,1660.91,adimplente,Medio,205,4,Investimento,ativo,App
Joao Ferreira,***.823.754-63,RS,20,3530,763.89,adimplente,Medio,271,1,Financiamento,ativo,WhatsApp
Eduardo Martins,***.286.613-14,RS,40,4830,1818.16,adimplente,Medio,192,4,Conta digital,ativo,WhatsApp
Tatiane Araujo,***.170.704-73,RJ,34,1200,572.02,adimplente,Alto,358,2,Conta digital,inativo,App
Luiz Correia,***.181.203-22,RJ,41,5090,379.32,adimplente,Medio,46,2,Investimento,ativo,WhatsApp
Sabrina Monteiro,***.871.925-40,MT,43,1730,620.91,adimplente,Medio,81,3,Financiamento,inativo,Agencia
Aline Moreira,***.683.937-84,CE,71,8160,1994.04,restrito,Baixo,0,1,Financiamento,ativo,App
Patricia Rocha,***.465.945-15,PR,49,1310,440.49,adimplente,Alto,215,1,Conta digital,inativo,WhatsApp
Leandro Monteiro,***.220.881-97,PB,37,3480,291.69,restrito,Baixo,0,1,Financiamento,inativo,WhatsApp
Igor Rocha,***.456.713-63,SP,37,1200,1420.26,adimplente,Alto,188,3,Seguro,ativo,WhatsApp
Sabrina Nascimento,***.435.804-15,SP,42,1960,476.38,adimplente,Medio,145,3,Financiamento,ativo,WhatsApp
Daniel Cavalcanti,***.777.823-49,BA,33,3100,524.14,adimplente,Medio,41,2,Seguro,ativo,App
Sergio Barros,***.777.793-95,BA,70,6020,593.00,adimplente,Medio,351,1,Seguro,ativo,WhatsApp
Aline Lima,***.643.803-50,RJ,41,1770,426.74,adimplente,Baixo,159,3,Emprestimo pessoal,ativo,WhatsApp
Vanessa Pereira,***.179.818-26,MA,28,8160,678.54,adimplente,Medio,196,2,Financiamento,ativo,WhatsApp
Thiago Mendes,***.491.566-14,SP,54,3160,634.09,adimplente,Medio,30,2,Cartao de credito,inativo,WhatsApp
Otavio Teixeira,***.560.891-81,RJ,48,4170,491.43,adimplente,Medio,269,2,Emprestimo pessoal,ativo,WhatsApp
Fernanda Santos,***.173.768-10,RR,36,1480,2392.77,adimplente,Medio,245,3,Conta digital,ativo,WhatsApp
Gustavo Almeida,***.287.941-15,PE,40,4640,676.80,adimplente,Medio,309,2,Financiamento,inativo,WhatsApp
Patricia Dias,***.506.882-86,RN,34,3260,597.44,adimplente,Medio,297,3,Investimento,ativo,WhatsApp
Diego Monteiro,***.372.193-89,PB,66,1200,1404.91,restrito,Baixo,0,2,Cartao de debito,ativo,App
Amanda Ferreira,***.837.235-18,MT,34,3300,874.26,adimplente,Alto,209,4,Seguro,ativo,WhatsApp
Larissa Correia,***.658.871-55,BA,74,5560,786.19,adimplente,Alto,342,2,Investimento,ativo,WhatsApp
Larissa Dias,***.152.344-76,MG,48,2140,371.86,restrito,Baixo,0,2,Cartao de credito,ativo,App
Camila Moreira,***.388.944-39,MG,37,9750,658.12,adimplente,Medio,49,2,Seguro,ativo,WhatsApp
Adriana Correia,***.436.309-17,SP,36,4150,1336.57,adimplente,Alto,322,2,Cartao de credito,ativo,WhatsApp
Sergio Araujo,***.661.478-37,SP,19,2190,701.57,adimplente,Alto,161,1,Cartao de credito,ativo,App
Tatiane Castro,***.894.328-78,PB,18,3750,1230.74,adimplente,Alto,188,2,Emprestimo pessoal,ativo,WhatsApp
Vinicius Silva,***.810.726-85,PB,48,2570,502.42,adimplente,Alto,57,2,Cartao de debito,ativo,WhatsApp
Francisco Rodrigues,***.318.964-28,PR,69,2070,1860.97,adimplente,Alto,225,3,Investimento,ativo,WhatsApp
Roberto Silva,***.158.112-55,BA,36,1880,1554.54,restrito,Medio,0,2,Financiamento,ativo,Agencia
Gabriel Pinto,***.501.685-47,MG,49,12920,269.98,adimplente,Alto,313,2,Conta digital,ativo,WhatsApp
Ana Martins,***.394.896-48,MA,59,1810,431.87,adimplente,Alto,344,1,Financiamento,inativo,WhatsApp
Leandro Moreira,***.871.270-92,PE,68,7500,676.46,adimplente,Baixo,181,1,Cartao de debito,ativo,WhatsApp
Sergio Rocha,***.825.365-97,MG,18,2930,908.17,adimplente,Alto,110,1,Investimento,ativo,Telefone
Otavio Mendes,***.818.536-57,SC,45,2390,385.02,adimplente,Medio,70,4,Emprestimo pessoal,ativo,WhatsApp
Aline Pereira,***.449.550-18,PR,42,2710,947.71,adimplente,Alto,146,1,Emprestimo pessoal,ativo,WhatsApp
Patricia Oliveira,***.718.681-93,PI,47,1250,795.17,restrito,Baixo,0,2,Seguro,ativo,WhatsApp
Vanessa Ribeiro,***.112.978-21,RJ,75,4720,177.62,adimplente,Alto,241,2,Emprestimo pessoal,ativo,WhatsApp
Aline Lima,***.489.901-17,PA,72,2500,1628.11,adimplente,Alto,226,2,Conta digital,ativo,Telefone
Joao Gomes,***.932.883-66,AM,38,15220,429.40,adimplente,Medio,341,2,Conta digital,inativo,WhatsApp
Claudia Castro,***.234.409-27,CE,48,1660,417.13,adimplente,Medio,22,1,Seguro,inativo,Agencia
Otavio Freitas,***.395.218-87,SP,36,4730,465.99,restrito,Baixo,0,2,Seguro,ativo,App
Felipe Lima,***.575.216-83,SC,19,7310,296.38,adimplente,Medio,111,2,Cartao de debito,ativo,WhatsApp
Juliana Castro,***.747.796-48,SP,37,1670,427.38,adimplente,Alto,328,4,Financiamento,ativo,WhatsApp
Aline Dias,***.991.594-13,PE,43,3410,1004.32,restrito,Baixo,0,1,Emprestimo pessoal,ativo,Telefone
Daniel Carvalho,***.497.646-32,PE,44,4600,738.07,adimplente,Alto,87,2,Investimento,ativo,App
Leandro Costa,***.957.847-83,PR,53,3390,1086.24,adimplente,Alto,112,1,Emprestimo pessoal,ativo,Telefone
Maria Correia,***.916.324-82,PR,62,2230,968.29,adimplente,Medio,94,1,Cartao de debito,inativo,App
Juliana Nascimento,***.845.809-42,MA,50,12310,358.83,adimplente,Medio,231,4,Conta digital,ativo,WhatsApp
Jose Lima,***.581.925-41,PR,48,4910,671.92,adimplente,Alto,140,4,Investimento,ativo,App
Thiago Oliveira,***.423.253-33,SC,30,5790,450.96,adimplente,Alto,11,4,Emprestimo pessoal,ativo,Agencia
Amanda Souza,***.676.380-11,MG,45,2090,277.04,restrito,Baixo,0,3,Cartao de credito,ativo,App
Juliana Nascimento,***.656.208-89,RS,70,4960,564.12,adimplente,Medio,78,1,Conta digital,ativo,WhatsApp
Carlos Barros,***.846.394-15,MG,43,7940,1215.38,adimplente,Alto,136,1,Cartao de debito,ativo,WhatsApp
Andre Barbosa,***.836.887-29,SP,20,2530,761.13,adimplente,Alto,14,1,Emprestimo pessoal,ativo,WhatsApp
Aline Monteiro,***.926.299-60,GO,35,7550,459.10,adimplente,Alto,86,1,Conta digital,inativo,WhatsApp
Leticia Almeida,***.226.791-94,RS,38,3810,534.14,adimplente,Medio,277,3,Conta digital,ativo,WhatsApp
Rodrigo Teixeira,***.295.549-71,BA,39,4210,694.55,adimplente,Medio,121,2,Cartao de credito,ativo,Agencia
Otavio Silva,***.352.166-33,PR,48,3350,369.01,adimplente,Alto,321,1,Seguro,inativo,Telefone
Francisco Ribeiro,***.812.259-96,AL,52,4510,840.46,adimplente,Medio,191,1,Investimento,ativo,WhatsApp
Caio Pereira,***.571.958-22,PR,39,2760,510.15,adimplente,Alto,352,1,Seguro,ativo,App
Patricia Teixeira,***.667.939-75,SP,54,5150,594.21,restrito,Baixo,0,3,Investimento,inativo,App
Diego Ribeiro,***.619.772-21,MS,41,2210,437.90,adimplente,Alto,279,4,Conta digital,ativo,WhatsApp
Patricia Freitas,***.887.788-66,RJ,38,8540,257.72,adimplente,Medio,268,4,Emprestimo pessoal,ativo,WhatsApp
Diego Mendes,***.866.256-41,BA,29,3030,535.90,adimplente,Alto,302,3,Investimento,inativo,WhatsApp
Larissa Araujo,***.933.807-97,PA,43,5030,278.47,adimplente,Medio,10,2,Investimento,ativo,Telefone
Felipe Lima,***.284.964-31,RS,38,5710,414.76,adimplente,Alto,264,2,Cartao de credito,inativo,Telefone
Juliana Teixeira,***.849.761-91,SP,43,2610,710.11,adimplente,Alto,132,2,Cartao de debito,inativo,WhatsApp
Sandra Araujo,***.501.168-91,RJ,19,17450,1235.58,adimplente,Medio,267,3,Cartao de debito,inativo,WhatsApp
Sandra Monteiro,***.248.125-29,RS,33,1900,635.91,adimplente,Alto,6,2,Investimento,ativo,Telefone
Aline Silva,***.999.145-21,CE,44,5920,676.36,restrito,Baixo,0,3,Conta digital,ativo,WhatsApp
Pedro Almeida,***.185.364-54,MG,29,2600,351.80,adimplente,Alto,362,3,Conta digital,ativo,Telefone
Beatriz Cardoso,***.163.620-44,AM,25,8430,891.54,adimplente,Medio,237,1,Cartao de debito,ativo,WhatsApp
Jose Almeida,***.646.730-66,PI,33,4600,1720.13,restrito,Baixo,0,4,Investimento,ativo,WhatsApp
Sabrina Rodrigues,***.300.800-58,PE,31,2490,1295.46,restrito,Baixo,0,2,Investimento,ativo,App
Marcos Pereira,***.139.192-70,GO,44,16400,591.42,adimplente,Alto,327,3,Financiamento,ativo,WhatsApp
Maria Cavalcanti,***.733.758-41,BA,29,4670,700.61,restrito,Baixo,0,2,Financiamento,inativo,App
Fernanda Moreira,***.444.466-40,RJ,44,4050,2861.99,adimplente,Alto,178,2,Financiamento,ativo,WhatsApp
Rodrigo Araujo,***.820.982-50,MG,32,2530,880.80,adimplente,Medio,361,3,Financiamento,ativo,WhatsApp
Ana Souza,***.300.721-15,RJ,59,1200,1083.88,adimplente,Medio,318,3,Cartao de debito,ativo,Telefone
Amanda Cardoso,***.619.710-61,PE,34,5120,508.44,adimplente,Alto,176,2,Seguro,ativo,App
Otavio Rocha,***.996.320-61,PI,22,1260,950.40,adimplente,Alto,299,2,Emprestimo pessoal,ativo,WhatsApp
Mariana Moreira,***.440.516-43,PR,20,6300,752.26,adimplente,Alto,239,4,Conta digital,ativo,WhatsApp
Gabriel Barros,***.648.221-75,RS,61,2270,1081.07,adimplente,Medio,90,2,Financiamento,inativo,Telefone
Francisco Lima,***.471.956-56,RJ,28,3410,821.02,adimplente,Medio,208,4,Emprestimo pessoal,ativo,App
Ana Dias,***.455.364-48,AM,58,1550,499.51,adimplente,Medio,146,3,Emprestimo pessoal,ativo,Agencia
Patricia Teixeira,***.105.872-10,BA,67,2770,219.51,adimplente,Baixo,216,4,Financiamento,ativo,WhatsApp
Jose Santos,***.399.648-44,PE,42,3700,716.17,adimplente,Medio,113,1,Conta digital,ativo,Agencia
Leticia Castro,***.877.249-46,BA,51,13390,517.27,restrito,Baixo,0,3,Cartao de credito,ativo,WhatsApp
Larissa Costa,***.348.883-17,SP,42,6940,901.87,adimplente,Alto,324,2,Cartao de credito,ativo,WhatsApp
Camila Monteiro,***.321.897-26,PA,41,1510,648.32,adimplente,Alto,187,1,Conta digital,ativo,Agencia
Gustavo Pereira,***.851.519-56,MG,44,6590,905.13,adimplente,Medio,16,2,Cartao de credito,ativo,Agencia
Luiz Souza,***.268.211-43,BA,36,3470,233.17,adimplente,Alto,36,3,Financiamento,ativo,App
Adriana Carvalho,***.160.931-85,MA,18,3610,341.22,restrito,Baixo,0,4,Cartao de debito,ativo,WhatsApp
Luiz Freitas,***.631.971-55,GO,19,1540,227.11,adimplente,Medio,295,2,Investimento,ativo,WhatsApp
Tatiane Carvalho,***.929.997-46,RN,37,1430,439.78,adimplente,Medio,363,2,Cartao de credito,ativo,WhatsApp
Diego Silva,***.862.354-10,SP,54,2520,402.01,restrito,Baixo,0,1,Investimento,ativo,Telefone
Claudia Araujo,***.353.844-73,RJ,64,4010,397.30,adimplente,Alto,69,3,Seguro,inativo,App
Maria Silva,***.127.760-95,SE,21,7580,862.25,adimplente,Medio,303,1,Emprestimo pessoal,ativo,App
Felipe Moreira,***.558.584-69,PR,44,2570,778.68,adimplente,Alto,189,2,Cartao de credito,inativo,WhatsApp
Lucas Carvalho,***.310.112-22,RN,46,3640,539.32,restrito,Medio,0,1,Seguro,ativo,WhatsApp
Pedro Ribeiro,***.135.181-28,SC,49,6600,353.41,restrito,Baixo,0,3,Cartao de debito,ativo,WhatsApp
Diego Ferreira,***.671.573-35,BA,32,3740,802.73,restrito,Baixo,0,2,Conta digital,inativo,WhatsApp
Camila Araujo,***.330.210-67,RS,66,5680,1008.05,restrito,Baixo,0,2,Financiamento,ativo,WhatsApp
Luiz Ferreira,***.988.159-82,MG,60,6410,1004.84,adimplente,Alto,349,4,Emprestimo pessoal,inativo,Agencia
Bruna Ferreira,***.924.980-30,SP,27,3680,838.28,restrito,Baixo,0,1,Financiamento,ativo,WhatsApp
Diego Barros,***.128.269-33,GO,69,3330,362.32,adimplente,Alto,333,4,Conta digital,ativo,WhatsApp
Larissa Cardoso,***.189.267-22,SP,32,5000,2289.31,adimplente,Medio,333,3,Financiamento,inativo,Telefone
Beatriz Martins,***.278.936-77,PE,39,6210,382.44,restrito,Baixo,0,1,Cartao de credito,ativo,WhatsApp
Carlos Martins,***.948.904-98,SP,43,3380,298.15,adimplente,Baixo,23,1,Investimento,ativo,App
Mariana Rocha,***.314.939-72,BA,25,1580,628.11,adimplente,Alto,292,4,Seguro,ativo,WhatsApp
Sergio Lima,***.215.134-69,SP,27,9340,291.39,adimplente,Medio,349,2,Investimento,ativo,WhatsApp
Carlos Monteiro,***.951.978-29,SC,29,1930,381.01,restrito,Medio,0,3,Cartao de credito,ativo,WhatsApp
Otavio Cavalcanti,***.250.710-51,AC,71,3370,712.98,restrito,Medio,0,2,Cartao de credito,ativo,Telefone
Leticia Rocha,***.797.536-68,SE,40,2080,522.13,adimplente,Alto,146,1,Financiamento,ativo,App
Andre Moreira,***.763.804-17,BA,47,2130,695.64,adimplente,Baixo,178,2,Emprestimo pessoal,inativo,App
Fabio Ribeiro,***.722.476-46,SP,53,1300,390.42,adimplente,Medio,132,2,Cartao de debito,ativo,WhatsApp
Sergio Barros,***.828.691-37,PE,46,3650,671.74,restrito,Baixo,0,3,Conta digital,ativo,WhatsApp
Maria Oliveira,***.979.709-53,CE,43,2030,1192.85,adimplente,Medio,136,3,Cartao de debito,ativo,WhatsApp
Caio Oliveira,***.675.755-16,SP,21,3030,784.87,adimplente,Medio,11,1,Emprestimo pessoal,ativo,Agencia
Diego Souza,***.461.750-40,BA,74,5000,381.37,adimplente,Alto,323,4,Seguro,inativo,WhatsApp
Adriana Dias,***.725.434-97,CE,44,6270,183.29,adimplente,Alto,295,2,Emprestimo pessoal,inativo,WhatsApp
Vinicius Dias,***.102.938-55,CE,47,2820,286.75,adimplente,Medio,6,3,Financiamento,ativo,WhatsApp
Marcos Carvalho,***.816.886-31,SP,22,2850,332.58,adimplente,Alto,25,1,Seguro,inativo,WhatsApp
Fabio Ferreira,***.693.617-38,PR,43,2930,1394.81,adimplente,Medio,29,4,Seguro,ativo,WhatsApp
Claudia Moreira,***.984.927-69,RJ,28,7900,457.50,restrito,Medio,0,3,Investimento,ativo,WhatsApp
Bruno Monteiro,***.519.749-53,RS,28,2190,553.76,adimplente,Medio,146,4,Financiamento,ativo,App
Camila Nascimento,***.250.687-45,SP,22,3190,777.49,restrito,Baixo,0,2,Conta digital,ativo,App
Carlos Santos,***.985.392-80,SP,38,6040,257.64,restrito,Baixo,0,2,Cartao de debito,ativo,WhatsApp
Roberto Santos,***.229.729-98,RJ,31,3900,399.20,restrito,Baixo,0,1,Emprestimo pessoal,ativo,App
Diego Costa,***.609.437-72,GO,65,5320,253.47,adimplente,Medio,3,1,Seguro,ativo,WhatsApp
Larissa Araujo,***.818.922-44,SC,68,2050,1206.41,restrito,Baixo,0,2,Seguro,inativo,WhatsApp
Eduardo Gomes,***.656.711-59,MG,29,4760,1296.20,restrito,Baixo,0,1,Cartao de debito,ativo,WhatsApp
Fabio Silva,***.460.485-62,MT,46,15020,475.98,adimplente,Alto,63,1,Conta digital,ativo,WhatsApp
Leticia Cavalcanti,***.523.975-69,MG,67,2470,483.20,adimplente,Baixo,295,1,Investimento,inativo,WhatsApp
Sabrina Silva,***.262.165-97,MG,39,3080,407.45,adimplente,Alto,128,4,Financiamento,inativo,WhatsApp
Leandro Pereira,***.719.158-25,AM,57,1370,580.03,restrito,Medio,0,3,Cartao de credito,ativo,App
Camila Castro,***.773.597-18,RJ,66,5360,766.87,adimplente,Alto,321,1,Cartao de credito,ativo,WhatsApp
